# Time-averaged data for fix aveV
# TimeStep v_volume
1800 493039
2700 493039
3600 493039
4500 493039
5400 493039
6300 493039
7200 493039
8100 493039
9000 493039
9900 493039
10800 489998
11700 481747
12600 473498
13500 465344
14400 457284
15300 449318
16200 441445
17100 433664
18000 425976
18900 418379
19800 410872
20700 403456
21600 396130
22500 388893
23400 381744
24300 374684
25200 367712
26100 360826
27000 354027
27900 347314
28800 340686
29700 334143
30600 327685
31500 321310
32400 315018
33300 308810
34200 302683
35100 296638
36000 290673
36900 284790
37800 278986
38700 273262
39600 267616
40500 262049
41400 256559
42300 251147
43200 245812
44100 240552
45000 235368
45900 230259
46800 225225
47700 220264
48600 215377
49500 210563
50400 205821
51300 201151
52200 196552
53100 192023
54000 187565
54900 183176
55800 178856
56700 174605
57600 170421
58500 166305
59400 162256
60300 158273
61200 154356
62100 150504
63000 146716
63900 142993
64800 139333
65700 135736
66600 132202
67500 128729
68400 125318
69300 121967
70200 118677
71100 115447
72000 112276
72900 109163
73800 106108
74700 103111
75600 100171
76500 97287.6
77400 94459.8
78300 91687.3
79200 88969.7
80100 86306.2
81000 83696.5
81900 81139.9
82800 78636
83700 76184
84600 73783.6
85500 71434.1
86400 69135.1
87300 66885.9
88200 64686.1
89100 62535
90000 60432.1
90900 58376.9
91800 56368.9
92700 54407.4
93600 52492
94500 50622
95400 48797
96300 47016.4
97200 45279.7
98100 43586.3
99000 41935.6
99900 40327.1
100800 38760.3
101700 37234.6
102600 35749.5
103500 34304.4
104400 32898.8
105300 31532.1
106200 30203.8
107100 28913.4
108000 27660.2
108900 26443.8
109800 25263.6
