# Time-averaged data for fix aveP
# TimeStep c_pressure
1800 10.9339
2700 11.7133
3600 12.7213
4500 11.8645
5400 12.9649
6300 12.7828
7200 11.6761
8100 12.5774
9000 11.7085
9900 11.0716
10800 9.889
11700 13.8381
12600 11.8509
13500 10.1165
14400 12.7573
15300 11.0756
16200 9.55115
17100 12.0847
18000 12.5094
18900 11.252
19800 11.9588
20700 11.5744
21600 10.7141
22500 10.056
23400 11.9735
24300 12.4559
25200 10.8841
26100 10.7399
27000 12.9787
27900 11.0529
28800 11.736
29700 12.2097
30600 12.3308
31500 11.0341
32400 10.9451
33300 11.7979
34200 11.6337
35100 12.6398
36000 12.1251
36900 12.4419
37800 12.7475
38700 10.9621
39600 13.1615
40500 12.372
41400 11.7085
42300 12.7862
43200 12.1788
44100 11.7656
45000 12.2557
45900 12.0628
46800 12.3784
47700 11.9762
48600 11.7959
49500 12.4952
50400 12.5081
51300 12.6489
52200 11.3387
53100 12.5887
54000 13.2752
54900 11.837
55800 11.4108
56700 11.6129
57600 12.6338
58500 12.0083
59400 11.5163
60300 12.3648
61200 11.8418
62100 12.0807
63000 14.1178
63900 12.5288
64800 11.4189
65700 12.5361
66600 11.3698
67500 12.9324
68400 13.6034
69300 13.2792
70200 11.1159
71100 13.0558
72000 13.6059
72900 12.708
73800 12.1424
74700 11.3551
75600 12.7862
76500 12.2772
77400 12.4318
78300 12.453
79200 13.1368
80100 12.6901
81000 13.1018
81900 10.7778
82800 11.9366
83700 14.7107
84600 13.2247
85500 12.4325
86400 12.8392
87300 14.1647
88200 12.7983
89100 11.4565
90000 12.8166
90900 14.3037
91800 12.9889
92700 12.2034
93600 11.7549
94500 12.9639
95400 10.9171
96300 12.4189
97200 12.064
98100 12.9161
99000 14.9723
99900 12.3448
100800 14.1396
101700 13.3968
102600 14.2516
103500 13.3529
104400 13.215
105300 14.5164
106200 12.9677
107100 12.6533
108000 13.7059
108900 13.8722
109800 12.998
110700 14.806
111600 14.055
112500 12.3217
113400 12.9298
114300 11.939
115200 13.4819
116100 12.8668
117000 13.3496
117900 13.3182
118800 13.1061
119700 13.9554
120600 12.8294
121500 12.6936
122400 14.5366
123300 13.1736
124200 13.449
125100 13.1657
126000 13.1344
126900 14.3417
127800 14.7822
128700 14.4438
129600 14.9279
130500 12.5242
131400 13.1904
132300 12.5908
133200 14.8788
134100 12.4546
135000 13.6844
135900 13.8869
136800 13.8832
137700 13.2639
138600 14.1445
139500 12.1093
140400 12.9076
141300 15.7455
142200 12.8305
143100 12.3129
144000 14.0775
144900 14.1242
145800 14.4552
