Step Temp v_dQ v_dT v_heatCapacity 
    2000    1.9928161            5 -0.0071838607   -696.00459 
    2100     2.000511          5.5 0.00051104602     10762.24 
    2200    2.0056632            6 0.0056632002    1059.4716 
    2300    2.0072539          6.5 0.0072539446    896.06419 
    2400    1.9368376            7 -0.063162419   -110.82539 
    2500    1.9617315          7.5  -0.03826852   -195.98354 
    2600    1.9968874            8 -0.0031125946    -2570.203 
    2700    2.0221381          8.5  0.022138103    383.95341 
    2800    2.0159845            9  0.015984539    563.04408 
    2900    2.0098687          9.5 0.0098687378    962.63576 
    3000    1.9633136           10 -0.036686394   -272.58062 
    3100     1.939266         10.5 -0.060734037   -172.88493 
    3200    1.9938261           11 -0.0061739053   -1781.6924 
    3300    2.0052863         11.5 0.0052862946    2175.4368 
    3400     1.994555           12 -0.0054450222   -2203.8477 
    3500    1.9764099         12.5 -0.023590071   -529.88395 
    3600    2.0121589           13  0.012158945    1069.1717 
    3700    1.9901025         13.5 -0.0098974929   -1363.9818 
    3800    2.0221112           14  0.022111199     633.1633 
    3900    1.9939152         14.5 -0.0060847703   -2382.9988 
    4000    2.0049291           15 0.0049290724    3043.1689 
    4100    2.0015385         15.5 0.0015385068    10074.703 
    4200    2.0283346           16  0.028334647    564.67971 
    4300     2.023375         16.5  0.023374967    705.88334 
    4400    2.0230646           17  0.023064638    737.05905 
    4500    2.0101769         17.5  0.010176942    1719.5735 
    4600    1.9631942           18 -0.036805791   -489.05347 
    4700    2.0002997         18.5 0.00029973806    61720.557 
    4800    1.9439909           19  -0.05600906   -339.23083 
    4900    2.0261313         19.5  0.026131305    746.23139 
    5000     1.956948           20 -0.043052038   -464.55408 
    5100    2.0147891         20.5  0.014789095    1386.1565 
    5200    2.0222404           21    0.0222404    944.22762 
    5300    1.9273743         21.5 -0.072625723   -296.03836 
    5400    1.9765972           22 -0.023402788   -940.05893 
    5500    1.9635133         22.5 -0.036486724   -616.66265 
    5600    1.9437614           23 -0.056238588   -408.97186 
    5700    2.0278138         23.5  0.027813836    844.90324 
    5800    1.9061269           24 -0.093873128   -255.66422 
    5900    2.0148365         24.5  0.014836517     1651.331 
    6000    2.0425816           25  0.042581567     587.1085 
    6100      1.97482         25.5 -0.025180013    -1012.708 
    6200    2.0264326           26  0.026432596    983.63398 
    6300     2.027435         26.5  0.027435008    965.91918 
    6400    2.0501655           27  0.050165498    538.21852 
    6500    2.0243393         27.5   0.02433926    1129.8618 
    6600    1.9877682           28 -0.012231832   -2289.1093 
    6700    1.9998895         28.5 -0.00011049892   -257921.06 
    6800     2.030075           29  0.030075012    964.25565 
    6900    1.9916447         29.5 -0.008355263   -3530.7087 
    7000    2.0286606           30  0.028660598    1046.7332 
    7100    1.9948476         30.5 -0.0051523765   -5919.5985 
    7200    1.9880727           31 -0.011927323   -2599.0744 
    7300     1.932046         31.5 -0.067953981     -463.549 
    7400    1.9249838           32 -0.075016203   -426.57451 
    7500    2.0315734         32.5  0.031573396    1029.3476 
    7600    1.9880682           33 -0.011931811   -2765.7159 
    7700    1.9613365         33.5 -0.038663496   -866.45037 
    7800     2.037374           34  0.037374005    909.72322 
    7900    2.0336174         34.5  0.033617399    1026.2543 
    8000     2.002096           35 0.0020960492    16698.081 
    8100    2.0301476         35.5  0.030147573    1177.5409 
    8200     2.046095           36  0.046094955    780.99654 
    8300    1.9705742         36.5 -0.029425804   -1240.4079 
    8400    1.9843125           37 -0.015687544   -2358.5591 
    8500    1.9810712         37.5  -0.01892878   -1981.1103 
    8600    1.9647521           38 -0.035247892   -1078.0787 
    8700    1.9629079         38.5 -0.037092076   -1037.9575 
    8800    2.0270847           39  0.027084676    1439.9286 
    8900    2.0126465         39.5  0.012646497    3123.3945 
    9000    2.0445044           40  0.044504378    898.78797 
    9100    2.0125384         40.5  0.012538431    3230.0693 
    9200    2.0526954           41  0.052695412    778.05636 
    9300    2.0065809         41.5 0.0065808859    6306.1418 
    9400    2.0054229           42 0.0054229332    7744.8862 
    9500    2.0593984         42.5  0.059398371    715.50783 
    9600    2.0386131           43  0.038613141    1113.6105 
    9700    2.0100455         43.5  0.010045527    4330.2856 
    9800    1.9952601           44 -0.0047399012   -9282.8939 
    9900    2.0709428         44.5  0.070942786    627.26603 
   10000    2.0368917           45  0.036891742    1219.7852 
   10100    2.0015136         45.5 0.0015136341    30060.105 
   10200    2.0326204           46  0.032620407    1410.1602 
   10300    1.9235781         46.5 -0.076421858   -608.46466 
   10400    2.0211692           47  0.021169175    2220.2094 
   10500    2.0399518         47.5  0.039951814    1188.9323 
   10600    1.9910891           48 -0.0089108759   -5386.6758 
   10700    1.9759093         48.5 -0.024090697   -2013.2253 
   10800    1.9736682           49 -0.026331789   -1860.8687 
   10900     2.037138         49.5  0.037137968    1332.8678 
   11000    2.0053565           50 0.0053565386    9334.3862 
   11100    1.9286731         50.5 -0.071326881   -708.00796 
   11200    2.0554283           51  0.055428299    920.10762 
   11300     2.036858         51.5  0.036858022    1397.2535 
   11400    2.0840125           52  0.084012532    618.95528 
   11500    2.0126424         52.5  0.012642403    4152.6916 
   11600    2.0529059           53  0.052905931     1001.778 
   11700    2.0228425         53.5  0.022842547    2342.1206 
   11800    2.0519787           54  0.051978669    1038.8877 
   11900    2.0427986         54.5  0.042798595    1273.4063 
   12000     2.071876           55  0.071876024    765.20649 
