Step Temp v_dQ v_dT v_heatCapacity 
    2000    2.0226655            5  0.022665475    220.59984 
    2100     2.113757          5.5   0.11375704    48.348657 
    2200    2.1291885            6   0.12918853     46.44375 
    2300    2.0450085          6.5  0.045008482    144.41722 
    2400      1.98212            7  -0.01787998   -391.49931 
    2500    2.0065859          7.5 0.0065858746    1138.8009 
    2600    2.0467072            8  0.046707178    171.27988 
    2700    2.0810287          8.5  0.081028731    104.90106 
    2800    2.0739212            9  0.073921243     121.7512 
    2900     2.038303          9.5  0.038303032    248.02214 
    3000    2.0051046           10 0.0051045596    1959.0329 
    3100    2.0093777         10.5 0.0093776946    1119.6782 
    3200    2.0715157           11  0.071515676    153.81243 
    3300      2.16741         11.5   0.16741003    68.693615 
    3400     2.135308           12   0.13530803    88.686531 
    3500    2.0202981         12.5    0.0202981     615.8212 
    3600     1.990778           13 -0.0092220135   -1409.6705 
    3700    2.0202983         13.5  0.020298266    665.08144 
    3800    2.0615741           14  0.061574054     227.3685 
    3900     2.082956         14.5  0.082955976    174.79151 
    4000    2.0636391           15  0.063639136    235.70402 
    4100    2.0238239         15.5  0.023823865    650.60812 
    4200    2.0021234           16 0.0021234378    7534.9511 
    4300    2.0369276         16.5  0.036927569    446.82064 
    4400    2.1238995           17   0.12389953    137.20795 
    4500    2.1346233         17.5   0.13462335    129.99231 
    4600    2.0461258           18  0.046125823    390.23694 
    4700     1.982281         18.5  -0.01771903   -1044.0752 
    4800    2.0067498           19   0.00674979    2814.9024 
    4900    2.0622281         19.5  0.062228143    313.36304 
    5000    2.0763548           20  0.076354764     261.9352 
    5100    2.0660734         20.5  0.066073402      310.261 
    5200    2.0563199           21  0.056319874    372.87015 
    5300    2.0445292         21.5  0.044529166    482.82961 
    5400    2.0487738           22  0.048773777    451.06206 
    5500    2.0740467         22.5  0.074046715    303.86223 
    5600    2.1056329           23   0.10563294    217.73512 
    5700    2.0893705         23.5  0.089370546    262.95017 
    5800    2.0228443           24  0.022844297    1050.5905 
    5900    1.9854432         24.5  -0.01455682   -1683.0599 
    6000    2.0344616           25   0.03446164    725.44429 
    6100    2.1193304         25.5   0.11933043    213.69234 
    6200    2.1174433           26   0.11744329    221.38344 
    6300    2.0552062         26.5  0.055206191    480.01862 
    6400    2.0064434           27  0.006443408    4190.3291 
    6500    2.0242377         27.5  0.024237675    1134.5973 
    6600    2.0710832           28   0.07108319    393.90466 
    6700    2.0892783         28.5   0.08927827    319.22662 
    6800      2.07653           29  0.076530044    378.93615 
    6900    2.0474793         29.5  0.047479296    621.32345 
    7000    2.0429626           30  0.042962591     698.2819 
    7100    2.0570042         30.5  0.057004229    535.04802 
    7200    2.1109791           31   0.11097911    279.33186 
    7300    2.1631867         31.5   0.16318669    193.03045 
    7400    2.1093486           32   0.10934862      292.642 
    7500    1.9946762         32.5 -0.0053237811   -6104.6838 
    7600    1.9866547           33 -0.013345349   -2472.7715 
    7700     2.064611         33.5  0.064610972    518.48779 
    7800    2.1184186           34   0.11841856    287.11715 
    7900    2.1094479         34.5   0.10944787    315.21857 
    8000    2.0604256           35  0.060425604    579.22466 
    8100    2.0270303         35.5  0.027030285    1313.3417 
    8200    2.0323801           36  0.032380095    1111.7942 
    8300     2.087828         36.5  0.087827963    415.58518 
    8400    2.1288998           37   0.12889976    287.04475 
    8500    2.1070284         37.5   0.10702835    350.37445 
    8600     2.005518           38 0.0055179706    6886.5897 
    8700    1.9671971         38.5  -0.03280285   -1173.6785 
    8800    2.0491045           39  0.049104474    794.22498 
    8900    2.1304048         39.5   0.13040481    302.90294 
    9000    2.1229003           40   0.12290026    325.46716 
    9100    2.0741813         40.5  0.074181337    545.95943 
    9200    2.0482102           41  0.048210174    850.44289 
    9300    2.0464577         41.5  0.046457692    893.28587 
    9400    2.0841637           42   0.08416372    499.02737 
    9500    2.1185779         42.5   0.11857791    358.41414 
    9600    2.1028291           43   0.10282914     418.1694 
    9700    1.9779605         43.5 -0.022039463   -1973.7323 
    9800    1.9070616           44 -0.092938405   -473.43184 
    9900    2.0090105         44.5 0.0090105029    4938.6811 
   10000    2.0897144           45  0.089714377    501.59185 
   10100     2.106978         45.5   0.10697799    425.32114 
   10200    2.0874568           46  0.087456832    525.97378 
   10300     2.069769         46.5   0.06976897     666.4854 
   10400    2.0551617           47  0.055161665      852.041 
   10500    2.0772174         47.5  0.077217443    615.14599 
   10600    2.1289923           48   0.12899229    372.11526 
   10700    2.1496756         48.5   0.14967561    324.03409 
   10800    2.0760529           49  0.076052939    644.28805 
   10900    1.9950857         49.5 -0.0049142887   -10072.668 
   11000    2.0135564           50  0.013556427    3688.2876 
   11100    2.1058405         50.5   0.10584051    477.13302 
   11200    2.1451891           51   0.14518906    351.26614 
   11300    2.1125208         51.5   0.11252082    457.69308 
   11400    2.0787941           52  0.078794129    659.94765 
   11500    2.0684352         52.5  0.068435226    767.14878 
   11600     2.071915           53  0.071914988    736.98128 
   11700    2.0889894         53.5  0.088989444     601.1949 
   11800    2.1022391           54   0.10223911     528.1736 
   11900    2.0917664         54.5  0.091766446    593.89899 
   12000    2.0527856           55  0.052785559    1041.9516 

